n.name,n.cancer,n.preeclampsia,n.foldc_cancer,n.foldc_pre,n.regulated_cancer,n.regulated_pre
Nefl,1,0,-0.4759328932,null,down,null
Nsfl1c,1,0,1.137472117,null,up,null
Ogdh,1,0,-0.4539481897,null,down,null
Olfm4,1,0,0.6105210716,null,up,null
P4hb,1,0,-0.4415245704,null,down,null
Pak1,1,0,-0.7552255626,null,down,null
Pak2,1,0,-0.71538452,null,down,null
Pcbp1,1,0,-0.6805359395,null,down,null
Pfkl,1,0,-0.2300139392,null,down,null
Ppp1cca,1,0,0.4976200095,null,up,null
Prdx1,1,0,-0.4548233438,null,down,null
Prdx3,1,0,-0.6755634735,null,down,null
Prdx4,1,0,-0.5924591334,null,down,null
Prdx5,1,1,-0.3602679902,-0.353522936503094,down,down
Prmt8,1,0,-0.7198450528,null,down,null
Psap,1,0,0.6401791216,null,up,null
Psma1,1,0,0.5246360626,null,up,null
Psmd12,1,0,0.4237133563,null,up,null
Ptbp1,1,0,-0.7671146477,null,down,null
Pxn,1,0,2.099522666,null,up,null
Rab33b,1,0,-0.6542630449,null,down,null
Rab43,1,0,-0.3458834658,null,down,null
Rack1,1,0,-0.6400372195,null,down,null
Rad23a,1,0,0.3881657653,null,up,null
Rap2c,1,0,-0.5098506596,null,down,null
Rbp4,1,0,-1.01521763,null,down,null
Rilpl1,1,0,1.427391574,null,up,null
Rpia,1,0,-0.5576129465,null,down,null
Rpl14,1,0,-0.5053473189,null,down,null
Rpl22,1,0,-0.5425277966,null,down,null
Rpl23a,1,0,0.3838524385,null,up,null
Rpl24,1,0,0.3690767436,null,up,null
Rpl30,1,0,0.6849270844,null,up,null
Rpl32,1,0,0.6801280884,null,up,null
Rps13,1,0,-0.5359781941,null,down,null
Rragb,1,0,-0.3128751071,null,down,null
Rras2,1,0,-0.5208427129,null,down,null
Ruvbl2,1,1,-0.296227816,0.217608133951821,down,up
Sdha,1,0,-0.7585669643,null,down,null
Septin1,1,0,-0.7830668392,null,down,null
Septin2,1,0,-0.6862667596,null,down,null
Serpina3m,1,0,0.3529952251,null,up,null
Sfxn3,1,0,0.756138222,null,up,null
Slc25a10,1,0,-0.704141261,null,down,null
Slc3a2,1,1,-0.5317781831,-0.290487607320149,down,down
Slk,1,0,0.5692042122,null,up,null
Spata1,1,0,-0.8786417183,null,down,null
Sptan1,1,0,-0.416660316,null,down,null
Stk26,1,0,0.6463107491,null,up,null
Stx12,1,0,-0.6644279092,null,down,null
Suclg2,1,0,-0.4643842778,null,down,null
Tfrc,1,0,-0.5169891416,null,down,null
Tgm2,1,0,-0.6228388916,null,down,null
Tln1,1,0,-0.5883547115,null,down,null
Tuba1a,1,0,-0.3638948446,null,down,null
Tuba1b,1,0,-0.355256347,null,down,null
Tuba3a,1,0,-0.3712097306,null,down,null
Tuba4a,1,0,-0.3995328411,null,down,null
Tuba8,1,0,-0.412426463,null,down,null
Tubb3,1,1,-0.1485252359,-0.325208346048992,down,down
Tubb4a,1,0,-0.3456038516,null,down,null
Tubb5,1,0,-0.3655692098,null,down,null
Tubb6,1,0,-0.1036396117,null,down,null
Tufm,1,0,-0.2078756662,null,down,null
Uba1,1,0,-0.3441684081,null,down,null
Uba6,1,1,0.1927631567,-0.346560160319012,up,down
Ubap2l,1,0,-0.1912832226,null,down,null
Uchl4,1,0,-0.6349663524,null,down,null
Vapa,1,0,-0.8387873963,null,down,null
Vat1,1,0,-0.5113878815,null,down,null
Vcl,1,0,-0.3677909569,null,down,null
Ubqln4,1,0,null,null,down,null
Xdh,0,1,null,-0.259868621826172,null,down
Vnn1,0,1,null,-0.503856023152668,null,down
Vcpip1 Vcip135,0,1,null,-1.64296372731527,null,down
Utrn rCG_57340,0,1,null,-0.461490948994953,null,down
Uso1 Vdp,0,1,null,0.251262664794922,null,up
Upp1 rCG_24466,0,1,null,0.574444452921551,null,up
Uggt1 Gt Ugcgl1 Uggt Ugt1 Ugtr,0,1,null,0.263598759969074,null,up
Uchl5,0,1,null,-0.721444765726726,null,down
Txnrd1,0,1,null,0.344873110453289,null,up
Tuba4a Tuba4,0,1,null,-0.590092341105144,null,down
Tspan9,0,1,null,-1.68617979685466,null,down
Tram2,0,1,null,0.814982414245605,null,up
Tram1 Tram,0,1,null,0.703567186991371,null,up
Tnfaip8,0,1,null,0.769172986348472,null,up
Tmpo Lap2,0,1,null,-0.334324518839519,null,down
Tmed7,0,1,null,0.515711148579914,null,up
Tmed3,0,1,null,0.329871813456219,null,up
Tm9sf2,0,1,null,0.368430137634277,null,up
Timp3,0,1,null,0.521853129069008,null,up
Tfrc Trfr,0,1,null,-0.72545051574707,null,down
